run,model,k,silhouette_train,calinski_harabasz_train,davies_bouldin_train,inertia_train,eps,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin
random_baseline_k4,Random assignment,4.0,-0.03610346200289149,,,,,,,,,
baseline_kmeans_k2,"K-Means (baseline, k=2)",2.0,0.37354227184167166,293.7995510028063,1.0802899669677866,,,,,,,
kmeans_k2,K-Means,2.0,0.37354227184167166,293.7995510028063,1.0802899669677866,970.2596124008727,,,,,,
kmeans_k3,K-Means,3.0,0.3331746399372732,255.68662512325514,1.1826399094542246,732.8598380154747,,,,,,
kmeans_k4,K-Means,4.0,0.3038111407983543,214.84600801890247,1.2620206582842701,636.6459863057567,,,,,,
kmeans_k5,K-Means,5.0,0.2762496206706151,190.95640678814837,1.3778563202091385,569.2482830145727,,,,,,
kmeans_k6,K-Means,6.0,0.28454254995869815,177.97273276414097,1.308145321496749,511.75457564162457,,,,,,
kmeans_k7,K-Means,7.0,0.28175294916219956,167.62126491169343,1.2590598630417027,468.00146419751366,,,,,,
kmeans_k8,K-Means,8.0,0.2985267919135826,168.67623850747376,1.1806037192827876,414.5873210619711,,,,,,
agglomerative_k4,Agglomerative (Ward),4.0,0.2927067725252222,184.91224655527515,1.2414721632139987,,,,,,,
dbscan_best,DBSCAN,,,,,,0.5,9.0,215.0,0.2937602816039672,130.86276354745897,0.8500491354493926
